Time, CPU (Watts), DRAM (Watts)
Mon 2021-08-30 09:50:24 CDT, 0.000000, 0.000000
Mon 2021-08-30 09:50:24 CDT, 12.409058, 0.692019
Mon 2021-08-30 09:50:24 CDT, 12.473450, 0.578952
Mon 2021-08-30 09:50:24 CDT, 12.915955, 0.589356
Mon 2021-08-30 09:50:25 CDT, 13.063049, 0.577957
Mon 2021-08-30 09:50:25 CDT, 12.706909, 0.553095
Mon 2021-08-30 09:50:25 CDT, 13.055115, 0.609093
Mon 2021-08-30 09:50:25 CDT, 13.545837, 0.837675
Mon 2021-08-30 09:50:25 CDT, 13.480530, 0.813731
Mon 2021-08-30 09:50:26 CDT, 13.553772, 0.841882
Mon 2021-08-30 09:50:26 CDT, 13.551331, 0.840812
Mon 2021-08-30 09:50:26 CDT, 13.476257, 0.852898
Mon 2021-08-30 09:50:26 CDT, 13.551636, 0.852898
Mon 2021-08-30 09:50:26 CDT, 13.553467, 0.830025
Mon 2021-08-30 09:50:27 CDT, 13.486633, 0.822987
Mon 2021-08-30 09:50:27 CDT, 13.551331, 0.836986
Mon 2021-08-30 09:50:27 CDT, 13.546143, 0.832626
Mon 2021-08-30 09:50:27 CDT, 13.483582, 0.849303
Mon 2021-08-30 09:50:27 CDT, 13.543091, 0.854046
Mon 2021-08-30 09:50:28 CDT, 13.400879, 0.583924
Mon 2021-08-30 09:50:28 CDT, 13.239136, 0.581553
Mon 2021-08-30 09:50:28 CDT, 13.191833, 0.568548
Mon 2021-08-30 09:50:28 CDT, 13.259888, 0.567324
Mon 2021-08-30 09:50:28 CDT, 13.087158, 0.554549
Mon 2021-08-30 09:50:29 CDT, 13.136292, 0.577192
